dateLogged,errorMessage,failingFile,line#,
2016/12/07 16:29:37,Custom error,C:\Users\jsnider\Google Drive\Token Creative Services\Web\Apps\AutoHotKey\scripts\Classes\instagramBSClass.ahk,22,
2016/12/07 16:33:49,Custom error,C:\Users\jsnider\Google Drive\Token Creative Services\Web\Apps\AutoHotKey\scripts\Classes\instagramBSClass.ahk,22,
2016/12/07 16:35:36,Custom error,C:\Users\jsnider\Google Drive\Token Creative Services\Web\Apps\AutoHotKey\scripts\Classes\instagramBSClass.ahk,22,
